date,note_1,note_10,note_100,note_20,note_5,note_50,year,month,quarter,month_sin,month_cos,banknote_total,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali
2017-04-01,2238.0,5382.1,40656.0,2621.6,2017.8,43904.5,2017,4,2,0.8660254037844387,-0.4999999999999998,96820.0,96155.70000000001,101956.3,89228.1,86279.70000000001,96508.43333333335,95906.65000000001,92238.93333333333,1,2,0,0,0,0
2017-05-01,2331.3,5513.5,40568.7,2638.8,2056.9,44026.2,2017,5,2,0.49999999999999994,-0.8660254037844387,97135.4,96820.0,96549.6,89453.0,86816.0,96703.7,97187.05,93098.88333333332,2,3,1,0,0,0
2017-06-01,2596.3,5923.8,41867.4,2858.6,2306.3,46357.8,2017,6,2,1.2246467991473532e-16,-1.0,101910.20000000001,97135.4,96155.70000000001,94505.29999999999,90434.2,98621.86666666665,98421.20000000001,94055.21666666667,3,0,2,1,0,0
2017-07-01,2530.9,5438.9,41224.2,2681.5,2227.9,43294.7,2017,7,3,-0.4999999999999997,-0.8660254037844388,97398.09999999999,101910.20000000001,96820.0,101956.3,88094.0,98814.56666666665,97661.5,94830.55833333333,0,1,3,0,0,0
2017-08-01,2415.2,5294.2,42262.4,2735.7,2128.5,45015.0,2017,8,3,-0.8660254037844384,-0.5000000000000004,99851.0,97398.09999999999,97135.4,96549.6,87876.79999999999,99719.76666666668,98211.73333333334,95828.40833333333,1,5,0,0,0,0
2017-09-01,2351.4,5196.9,41651.3,2671.0,2076.2,43671.6,2017,9,3,-1.0,-1.8369701987210297e-16,97618.4,99851.0,101910.20000000001,96155.70000000001,88978.2,98289.16666666667,98455.51666666666,96548.425,5,0,1,0,0,0
2017-10-01,2299.1,5150.8,41751.2,2670.6,2042.7,43190.4,2017,10,4,-0.8660254037844386,0.5000000000000001,97104.8,97618.4,97398.09999999999,96820.0,89228.1,98191.40000000001,98502.98333333334,97204.81666666665,0,0,5,0,0,0
2017-11-01,2270.0,5160.3,42412.9,2745.2,2019.1,44225.1,2017,11,4,-0.5000000000000004,0.8660254037844384,98832.6,97104.8,99851.0,97135.4,89453.0,97851.93333333333,98785.84999999999,97986.45,0,2,0,0,0,0
2017-12-01,2262.2,5165.6,43075.9,2815.3,2014.2,44812.6,2017,12,4,-2.4492935982947064e-16,1.0,100145.79999999999,98832.6,97618.4,101910.20000000001,94505.29999999999,98694.40000000001,98491.78333333333,98456.49166666668,2,0,0,0,0,0
2018-01-01,2470.5,6290.2,44642.1,3106.9,2359.2,46555.9,2018,1,1,0.49999999999999994,0.8660254037844387,105424.79999999999,100145.79999999999,97104.8,97398.09999999999,101956.3,101467.73333333334,99829.56666666667,98745.53333333334,0,2,2,0,0,0
