date,year,month,quarter,month_sin,month_cos,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12
2003-04-01,2003,4,2,0.8660254037844387,-0.4999999999999998,0,3,1,0,0,0,25501.699999999997,30059.5,23710.9,23597.800000000003,25462.2,26192.916666666668,24884.208333333332
2003-05-01,2003,5,2,0.49999999999999994,-0.8660254037844387,3,1,0,0,0,0,25256.4,25628.5,25440.300000000003,24070.600000000002,25497.3,26241.833333333332,25022.808333333334
2003-06-01,2003,6,2,1.2246467991473532e-16,-1.0,1,0,3,0,0,0,25733.800000000003,25501.699999999997,25271.1,23477.0,25496.86666666667,26280.050000000003,25191.425
2003-07-01,2003,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,25500.4,25256.4,30059.5,23264.6,25520.966666666664,25491.583333333332,25363.433333333334
2003-08-01,2003,8,3,-0.8660254037844384,-0.5000000000000004,1,1,0,0,0,0,25328.699999999997,25733.800000000003,25628.5,23506.3,25621.333333333332,25559.316666666666,25574.149999999998
2003-09-01,2003,9,3,-1.0,-1.8369701987210297e-16,1,0,1,0,0,0,26034.899999999998,25500.4,25501.699999999997,23423.6,25764.733333333334,25630.8,25783.066666666666
2003-10-01,2003,10,4,-0.8660254037844386,0.5000000000000001,0,2,1,0,0,0,25930.6,25328.699999999997,25256.4,23710.9,26027.333333333332,25774.149999999998,25983.53333333333
2003-11-01,2003,11,4,-0.5000000000000004,0.8660254037844384,2,1,0,1,0,0,26116.499999999996,26034.899999999998,25733.800000000003,25440.300000000003,27043.600000000002,26332.466666666664,26287.149999999998
2003-12-01,2003,12,4,-2.4492935982947064e-16,1.0,1,2,2,0,0,0,29083.7,25930.6,25500.4,25271.1,27597.899999999998,26681.316666666666,26480.683333333334
2004-01-01,2004,1,1,0.49999999999999994,0.8660254037844387,2,2,1,0,1,0,27593.5,26116.499999999996,25328.699999999997,30059.5,29292.433333333334,27659.883333333335,26575.733333333334
2004-02-01,2004,2,1,0.8660254037844386,0.5000000000000001,2,0,2,0,0,0,31200.100000000002,29083.7,26034.899999999998,25628.5,29134.033333333336,28088.816666666666,26824.066666666666
2004-03-01,2004,3,1,1.0,6.123233995736766e-17,0,0,2,0,0,0,28608.5,27593.5,25930.6,25501.699999999997,29486.63333333333,28542.266666666666,27086.533333333336
2004-04-01,2004,4,2,0.8660254037844387,-0.4999999999999998,0,4,0,0,0,0,28651.299999999996,31200.100000000002,26116.499999999996,25256.4,28810.766666666663,29051.600000000002,27412.875
2004-05-01,2004,5,2,0.49999999999999994,-0.8660254037844387,4,1,0,0,0,0,29172.5,28608.5,29083.7,25733.800000000003,28828.53333333333,28981.28333333333,27656.875
2004-06-01,2004,6,2,1.2246467991473532e-16,-1.0,1,0,4,0,0,0,28661.8,28651.299999999996,27593.5,25500.4,28622.333333333332,29054.483333333334,27867.899999999994
2004-07-01,2004,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,28032.7,29172.5,31200.100000000002,25328.699999999997,28302.166666666668,28556.466666666664,28108.175
