date,model,denomination_code,denomination,denomination_value,actual_value_rm_million,forecast_value_rm_million,actual_quantity_million_notes,forecast_quantity_million_notes,error_value_rm_million,absolute_error_value_rm_million,percentage_error
2022-06-01,SMA,note_5,RM5,5,3123.77415,3122.3484575,624.7548300000001,624.4696915000001,1.4256924999999683,1.4256924999999683,0.0004564006331891722
2022-07-01,SMA,note_5,RM5,5,3058.8396225,3162.532079166667,611.7679245,632.5064158333333,-103.69245666666666,103.69245666666666,0.03389927863622953
2022-08-01,SMA,note_5,RM5,5,2991.1551975,3120.6582350000003,598.2310395000001,624.131647,-129.50303750000012,129.50303750000012,0.04329532536734918
2022-09-01,SMA,note_5,RM5,5,2944.0221075,3057.9229900000005,588.8044215,611.5845980000001,-113.90088250000053,113.90088250000053,0.038688867929977167
2022-10-01,SMA,note_5,RM5,5,2915.8404125,2998.0056425,583.1680825000001,599.6011285,-82.16522999999961,82.16522999999961,0.02817891872537438
2022-11-01,SMA,note_5,RM5,5,2881.195025,2950.339239166666,576.239005,590.0678478333332,-69.14421416666619,69.14421416666619,0.023998449798331923
2022-12-01,SMA,note_5,RM5,5,3049.7045,2913.685848333333,609.9408999999999,582.7371696666667,136.01865166666676,136.01865166666676,0.044600600375107415
2023-01-01,SMA,note_5,RM5,5,3162.0804175,2948.9133124999994,632.4160835,589.7826624999999,213.16710500000045,213.16710500000045,0.0674135622295572
2023-02-01,SMA,note_5,RM5,5,3095.407685,3030.9933141666666,619.081537,606.1986628333333,64.41437083333358,64.41437083333358,0.02080965655848127
2023-03-01,SMA,note_5,RM5,5,3327.856805,3102.3975341666664,665.571361,620.4795068333333,225.45927083333345,225.45927083333345,0.06774909019360088
2023-04-01,SMA,note_5,RM5,5,3437.0215875,3195.1149691666665,687.4043174999999,639.0229938333333,241.90661833333343,241.90661833333343,0.07038262989476596
2023-05-01,SMA,note_5,RM5,5,3357.11783,3286.762025833333,671.423566,657.3524051666666,70.35580416666699,70.35580416666699,0.020957204283373925
2023-06-01,SMA,note_5,RM5,5,3249.0655975,3373.998740833333,649.8131195,674.7997481666666,-124.93314333333319,124.93314333333319,0.03845202246130803
2023-07-01,SMA,note_5,RM5,5,3128.4024525,3347.735005,625.6804905,669.547001,-219.33255250000002,219.33255250000002,0.07011008200838252
2023-08-01,SMA,note_5,RM5,5,3004.6177125,3244.8619599999997,600.9235424999999,648.9723919999999,-240.2442474999998,240.2442474999998,0.07995834095649525
2023-09-01,SMA,note_5,RM5,5,2952.8209825,3127.361920833333,590.5641965,625.4723841666666,-174.5409383333331,174.5409383333331,0.05910989503520744
2023-10-01,SMA,note_5,RM5,5,2918.20541,3028.613715833333,583.641082,605.7227431666666,-110.40830583333309,110.40830583333309,0.037834316068015614
2023-11-01,SMA,note_5,RM5,5,2889.9601575,2958.548035,577.9920315,591.709607,-68.58787749999965,68.58787749999965,0.023733156777957985
2023-12-01,SMA,note_5,RM5,5,2966.715245,2920.32885,593.343049,584.0657699999999,46.38639499999999,46.38639499999999,0.015635607454466023
2024-01-01,SMA,note_5,RM5,5,3196.58787,2924.960270833333,639.3175739999999,584.9920541666667,271.62759916666664,271.62759916666664,0.08497423196649578
2024-02-01,SMA,note_5,RM5,5,3136.1369075,3017.754424166667,627.2273815,603.5508848333334,118.38248333333286,118.38248333333286,0.037747868420611314
2024-03-01,SMA,note_5,RM5,5,3486.03338,3099.813340833333,697.206676,619.9626681666666,386.220039166667,386.220039166667,0.11079068874741153
2024-04-01,SMA,note_5,RM5,5,3484.1405425,3272.919385833333,696.8281085,654.5838771666665,211.22115666666696,211.22115666666696,0.06062360403955116
2024-05-01,SMA,note_5,RM5,5,3366.87739,3368.770276666666,673.375478,673.7540553333332,-1.8928866666660724,1.8928866666660724,0.0005622083751217541
2024-06-01,SMA,note_5,RM5,5,3279.02083,3445.6837708333333,655.804166,689.1367541666666,-166.66294083333332,166.66294083333332,0.050827045473002784
2024-07-01,SMA,note_5,RM5,5,3195.443485,3376.6795875000003,639.0886969999999,675.3359175,-181.23610250000047,181.23610250000047,0.05671704204776461
2024-08-01,SMA,note_5,RM5,5,3143.1840475,3280.4472349999996,628.6368095,656.089447,-137.26318749999973,137.26318749999973,0.04367010821691304
2024-09-01,SMA,note_5,RM5,5,3114.3893225,3205.8827875,622.8778645,641.1765575000001,-91.49346500000001,91.49346500000001,0.02937765819417717
2024-10-01,SMA,note_5,RM5,5,3075.1845425,3151.005618333333,615.0369085,630.2011236666666,-75.821075833333,75.821075833333,0.024655780745988513
2024-11-01,SMA,note_5,RM5,5,3052.44869,3110.919304166667,610.489738,622.1838608333335,-58.47061416666702,58.47061416666702,0.01915531434098144
2024-12-01,SMA,note_5,RM5,5,3168.7206475,3080.674185,633.7441295,616.134837,88.04646249999996,88.04646249999996,0.027786123263805307
2025-01-01,SMA,note_5,RM5,5,3302.1838175,3098.784626666667,660.4367635,619.7569253333334,203.3991908333328,203.3991908333328,0.061595356913632146
2025-02-01,SMA,note_5,RM5,5,3430.1300225,3174.4510516666664,686.0260045,634.8902103333332,255.67897083333355,255.67897083333355,0.07453914841600835
2025-03-01,SMA,note_5,RM5,5,3698.3032225,3300.3448291666664,739.6606445,660.0689658333333,397.9583933333338,397.9583933333338,0.10760566924642799
2025-04-01,SMA,note_5,RM5,5,3643.0504375,3476.8723541666664,728.6100875,695.3744708333332,166.1780833333337,166.1780833333337,0.0456150926769412
2025-05-01,SMA,note_5,RM5,5,3541.911095,3590.4945608333333,708.382219,718.0989121666667,-48.58346583333332,48.58346583333332,0.01371673780912147
2025-06-01,SMA,note_5,RM5,5,3446.206735,3627.7549183333335,689.241347,725.5509836666668,-181.54818333333333,181.54818333333333,0.05268058398514311
2025-07-01,SMA,note_5,RM5,5,3360.5612025,3543.722755833333,672.1122405,708.7445511666666,-183.1615533333329,183.1615533333329,0.05450326368020756
2025-08-01,SMA,note_5,RM5,5,3305.26214,3449.5596775,661.052428,689.9119355,-144.2975375000001,144.2975375000001,0.04365691173287699
2025-09-01,SMA,note_5,RM5,5,3265.2048775,3370.6766924999997,653.0409755,674.1353385,-105.47181499999988,105.47181499999988,0.03230174490023249
2025-10-01,SMA,note_5,RM5,5,3233.2160575,3310.34274,646.6432115,662.068548,-77.12668250000024,77.12668250000024,0.02385447836716376
2025-11-01,SMA,note_5,RM5,5,3206.8986925,3267.894358333333,641.3797385,653.5788716666666,-60.99566583333308,60.99566583333308,0.019020141165040274
2025-12-01,SMA,note_5,RM5,5,3338.4901725,3235.1065424999997,667.6980345,647.0213084999999,103.38363000000027,103.38363000000027,0.030967181168181278
2026-01-01,SMA,note_5,RM5,5,3601.3204125,3259.5349741666664,720.2640825000001,651.9069948333333,341.7854383333338,341.7854383333338,0.09490558994612473
2026-02-01,SMA,note_5,RM5,5,3765.0659175,3382.236425833333,753.0131835,676.4472851666667,382.82949166666685,382.82949166666685,0.10167935968591627
2021-02-01,SMA,note_10,RM10,10,7123.35543,6628.6282,712.3355429999999,662.86282,494.7272299999995,494.7272299999995,0.06945143126179786
2021-03-01,SMA,note_10,RM10,10,6893.192205,6913.18001,689.3192205,691.318001,-19.987804999999753,19.987804999999753,0.002899644229490878
2021-04-01,SMA,note_10,RM10,10,7248.58671,7101.066016666667,724.858671,710.1066016666666,147.52069333333293,147.52069333333293,0.020351649119381636
2021-05-01,SMA,note_10,RM10,10,7099.50651,7088.3781149999995,709.950651,708.8378114999999,11.128395000000637,11.128395000000637,0.0015674885267484087
2021-06-01,SMA,note_10,RM10,10,6846.29798,7080.428475000001,684.629798,708.0428475000001,-234.13049500000034,234.13049500000034,0.034198116366533075
2021-07-01,SMA,note_10,RM10,10,6776.52114,7064.797066666667,677.652114,706.4797066666667,-288.27592666666715,288.27592666666715,0.04254040099794733
2021-08-01,SMA,note_10,RM10,10,6723.578235,6907.441876666668,672.3578235,690.7441876666668,-183.86364166666772,183.86364166666772,0.027346099835583712
2021-09-01,SMA,note_10,RM10,10,6697.01523,6782.132451666667,669.701523,678.2132451666668,-85.11722166666732,85.11722166666732,0.012709724966037941
2021-10-01,SMA,note_10,RM10,10,6708.285375,6732.371535000001,670.8285375,673.2371535000001,-24.086160000000746,24.086160000000746,0.003590509147056187
2021-11-01,SMA,note_10,RM10,10,6691.83206,6709.62628,669.1832059999999,670.962628,-17.794220000000678,17.794220000000678,0.0026590954226667603
2021-12-01,SMA,note_10,RM10,10,6997.022465,6699.044221666667,699.7022465,669.9044221666667,297.978243333333,297.978243333333,0.042586435133495464
2022-01-01,SMA,note_10,RM10,10,7667.44901,6799.046633333334,766.744901,679.9046633333335,868.402376666666,868.402376666666,0.113258317796973
2022-02-01,SMA,note_10,RM10,10,7404.96555,7118.767845000001,740.496555,711.8767845000001,286.1977049999987,286.1977049999987,0.03864943098891239
2022-03-01,SMA,note_10,RM10,10,7377.25925,7356.479008333333,737.725925,735.6479008333333,20.78024166666728,20.78024166666728,0.002816796992279657
2022-04-01,SMA,note_10,RM10,10,7810.064915,7483.224603333333,781.0064915,748.3224603333333,326.8403116666668,326.8403116666668,0.04184860372145407
2022-05-01,SMA,note_10,RM10,10,7640.560155,7530.763238333333,764.0560155000001,753.0763238333333,109.79691666666713,109.79691666666713,0.01437027056122525
2022-06-01,SMA,note_10,RM10,10,7341.388415,7609.294773333334,734.1388415,760.9294773333334,-267.9063583333336,267.9063583333336,0.03649260101617081
2022-07-01,SMA,note_10,RM10,10,7200.5891,7597.337828333334,720.05891,759.7337828333334,-396.74872833333393,396.74872833333393,0.055099481837303274
2022-08-01,SMA,note_10,RM10,10,7095.97118,7394.1792233333335,709.5971179999999,739.4179223333333,-298.208043333334,298.208043333334,0.0420249794945382
2022-09-01,SMA,note_10,RM10,10,7035.35796,7212.649565,703.535796,721.2649564999999,-177.29160499999944,177.29160499999944,0.025200083067272873
2022-10-01,SMA,note_10,RM10,10,7023.750095,7110.639413333333,702.3750095,711.0639413333333,-86.889318333333,86.889318333333,0.012370787280029641
2022-11-01,SMA,note_10,RM10,10,7006.460815,7051.693078333334,700.6460815,705.1693078333334,-45.23226333333332,45.23226333333332,0.006455793378091321
2022-12-01,SMA,note_10,RM10,10,7770.010525,7021.856290000001,777.0010525,702.1856290000001,748.1542349999991,748.1542349999991,0.09628741590411155
2023-01-01,SMA,note_10,RM10,10,8115.95881,7266.740478333333,811.595881,726.6740478333334,849.2183316666669,849.2183316666669,0.10463561380083777
2023-02-01,SMA,note_10,RM10,10,7753.820635,7630.81005,775.3820635,763.081005,123.01058499999999,123.01058499999999,0.0158645125790945
2023-03-01,SMA,note_10,RM10,10,8131.75874,7879.92999,813.175874,787.9929989999999,251.82875000000058,251.82875000000058,0.03096854666399025
2023-04-01,SMA,note_10,RM10,10,8289.401635,8000.512728333334,828.9401635,800.0512728333334,288.8889066666661,288.8889066666661,0.03485039323549029
2023-05-01,SMA,note_10,RM10,10,7748.897005,8058.327003333335,774.8897005,805.8327003333335,-309.4299983333349,309.4299983333349,0.03993213461653629
2023-06-01,SMA,note_10,RM10,10,7529.41836,8056.685793333334,752.941836,805.6685793333334,-527.2674333333343,527.2674333333343,0.07002764464974348
2023-07-01,SMA,note_10,RM10,10,7333.54532,7855.905666666667,733.3545320000001,785.5905666666666,-522.3603466666664,522.3603466666664,0.07122889733047513
2023-08-01,SMA,note_10,RM10,10,7210.06102,7537.286895,721.006102,753.7286895,-327.2258750000001,327.2258750000001,0.045384619366231116
2023-09-01,SMA,note_10,RM10,10,7174.920425,7357.674900000001,717.4920425,735.7674900000001,-182.75447500000064,182.75447500000064,0.025471289460328842
2023-10-01,SMA,note_10,RM10,10,7136.48343,7239.508921666667,713.6483430000001,723.9508921666668,-103.02549166666722,103.02549166666722,0.014436450764192024
2023-11-01,SMA,note_10,RM10,10,7106.64855,7173.8216250000005,710.664855,717.3821625,-67.17307500000061,67.17307500000061,0.009452145343531953
2023-12-01,SMA,note_10,RM10,10,7449.423375,7139.350801666667,744.9423375,713.9350801666667,310.0725733333329,310.0725733333329,0.041623701288602474
2024-01-01,SMA,note_10,RM10,10,8302.65177,7230.851785,830.265177,723.0851785,1071.7999850000006,1071.7999850000006,0.12909128489198343
2024-02-01,SMA,note_10,RM10,10,8109.682735,7619.574565,810.9682735,761.9574565,490.1081700000004,490.1081700000004,0.06043493759438672
2024-03-01,SMA,note_10,RM10,10,8491.70266,7953.919293333335,849.1702660000001,795.3919293333336,537.7833666666656,537.7833666666656,0.06333045187744074
2024-04-01,SMA,note_10,RM10,10,8187.651815,8301.345721666667,818.7651815,830.1345721666667,-113.69390666666641,113.69390666666641,0.013886021198211689
2024-05-01,SMA,note_10,RM10,10,7830.93608,8263.012403333334,783.093608,826.3012403333335,-432.0763233333337,432.0763233333337,0.05517556508178441
2024-06-01,SMA,note_10,RM10,10,7706.788315,8170.096851666666,770.6788315,817.0096851666666,-463.30853666666644,463.30853666666644,0.060116940770893156
2024-07-01,SMA,note_10,RM10,10,7548.51475,7908.458736666667,754.851475,790.8458736666668,-359.9439866666671,359.9439866666671,0.047684080721530964
2024-08-01,SMA,note_10,RM10,10,7487.16185,7695.413048333333,748.716185,769.5413048333332,-208.25119833333247,208.25119833333247,0.027814437901236562
2024-09-01,SMA,note_10,RM10,10,7442.69883,7580.821638333334,744.269883,758.0821638333334,-138.12280833333352,138.12280833333352,0.018558161694866473
2024-10-01,SMA,note_10,RM10,10,7402.066905,7492.79181,740.2066904999999,749.279181,-90.72490500000004,90.72490500000004,0.012256698860519154
2024-11-01,SMA,note_10,RM10,10,7451.65808,7443.975861666667,745.165808,744.3975861666667,7.682218333333367,7.682218333333367,0.0010309407987937856
2024-12-01,SMA,note_10,RM10,10,7774.32942,7432.141271666667,777.432942,743.2141271666667,342.1881483333327,342.1881483333327,0.04401513363365206
2025-01-01,SMA,note_10,RM10,10,8671.533525,7542.684801666666,867.1533525000001,754.2684801666667,1128.8487233333344,1128.8487233333344,0.1301786725587657
2025-02-01,SMA,note_10,RM10,10,8538.190705,7965.840341666667,853.8190705000001,796.5840341666667,572.3503633333339,572.3503633333339,0.06703415080646571
